pk,name
217,Ahmedabad
218,Surat
219,Vadodara (Baroda)
220,Rajkot
221,Bhavnagar
222,Jamnagar
223,Junagadh
224,Gandhinagar
225,Anand
226,Morbi
227,Nadiad
228,Gandhidham
229,Veraval
230,Navsari
231,Dahod
232,Bharuch
233,Surendranagar
234,Vapi
235,Ankleshwar
236,Godhra
237,Patan
238,Kapadvanj
239,Porbandar
240,Palanpur
241,Deesa
242,Bhuj
243,Amreli
244,Mehsana
245,Himatnagar
246,Gondal
247,Jamalpur
248,Bhuj
249,Anjar
250,Jetpur
251,Keshod
252,Kutch
253,Modasa
254,Morbi
255,Nadiad
256,Navsari
257,Patan
258,Porbandar
259,Rajkot
260,Veraval
261,Vapi
262,Wadhwan
263,Palanpur
264,Deesa
265,Kadi
266,Visnagar
267,Gandhidham
268,Gandhinagar
269,Anand
270,Karamsad
271,Vallabh Vidyanagar
272,Mehsana
273,Kheralu
274,Idar
275,Dahej
276,Khambhat
277,Kalol
278,Halvad
279,Dhandhuka
280,Bhuj
281,Anjar
282,Rapar
283,Modasa
284,Bayad
285,Himmatnagar
286,Unjha
287,Visavadar
288,Keshod
289,Porbandar
290,Dhoraji
291,Upleta
292,Jetpur
293,Jamnagar
294,Ankleshwar
295,Hazira
296,Gondal
297,Vyara
298,Kheralu
299,Kapadvanj
300,Unjha
301,Keshod
302,Karamsad
303,Godhra
304,Morbi
305,Palitana
306,Vapi
307,Sidhpur
308,Veraval
309,Patan
310,Jetpur
311,Mahuva
312,Dhandhuka
313,Himatnagar
314,Modasa
315,Kadi
316,Visnagar
317,Gandhinagar
318,Anand
319,Vallabh Vidyanagar
320,Mehsana
321,Idar
322,Kalol
323,Dahej
324,Khambhat
325,Palanpur
326,Deesa
327,Bhuj
328,Anjar
329,Rapar
330,Modasa
331,Bayad
332,Himmatnagar
333,Unjha
334,Visavadar
335,Keshod
336,Porbandar
337,Dhoraji
338,Upleta
339,Jetpur
340,Jamnagar
341,Ankleshwar
342,Hazira
343,Gondal
344,Vyara
345,Kheralu
346,Kapadvanj
347,Unjha
348,Keshod
349,Karamsad
350,Godhra
351,Morbi
352,Palitana
353,Vapi
354,Sidhpur
355,Veraval
356,Patan
357,Jetpur
358,Mahuva
359,Dhandhuka
360,Himatnagar
361,Modasa
362,Kadi
363,Visnagar
364,Gandhinagar
365,Anand
366,Vallabh Vidyanagar
367,Mehsana
368,Idar
369,Kalol
370,Dahej
371,Khambhat
372,Palanpur
373,Deesa
374,Bhuj
375,Anjar
376,Rapar
377,Modasa
378,Bayad
379,Himmatnagar
380,Unjha
381,Visavadar
382,Keshod
383,Porbandar
384,Dhoraji
385,Upleta
386,Jetpur
387,Jamnagar
388,Ankleshwar
389,Hazira
390,Gondal
391,Vyara
392,Kheralu
393,Kapadvanj
394,Unjha
395,Keshod
396,Karamsad
397,Godhra
398,Morbi
399,Palitana
400,Vapi
401,Sidhpur
402,Veraval
403,Patan
404,Jetpur
405,Mahuva
406,Dhandhuka
407,Himatnagar
408,Modasa
409,Kadi
410,Visnagar
411,Gandhinagar
412,Anand
413,Vallabh Vidyanagar
414,Mehsana
415,Idar
416,Kalol
417,Dahej
418,Khambhat
419,Palanpur
420,Deesa
421,Bhuj
422,Anjar
423,Rapar
424,Modasa
425,Bayad
426,Himmatnagar
427,Unjha
428,Visavadar
429,Keshod
430,Porbandar
431,Dhoraji
432,Upleta
433,Jetpur
434,Jamnagar
435,Ankleshwar
436,Hazira
437,Gondal
438,Vyara
439,Kheralu
440,Kapadvanj
441,Unjha
442,Keshod
443,Karamsad
444,Godhra
445,Morbi
446,Palitana
447,Vapi
448,Sidhpur
449,Veraval
450,Patan
451,Jetpur
452,Mahuva
453,Dhandhuka
454,Himatnagar
455,Modasa
456,Kadi
457,Visnagar
458,Gandhinagar
459,Anand
460,Vallabh Vidyanagar
461,Mehsana
462,Idar
463,Kalol
464,Dahej
465,Khambhat
466,Palanpur
467,Deesa
468,Bhuj
469,Anjar
470,Rapar
471,Modasa
472,Bayad
473,Himmatnagar
474,Unjha
475,Visavadar
476,Keshod
477,Porbandar
478,Dhoraji
479,Upleta
480,Jetpur
481,Jamnagar
482,Ankleshwar
483,Hazira
484,Gondal
485,Vyara
486,Kheralu
