pk,name
680, Ranchi
681, Jamshedpur
682, Dhanbad
683, Bokaro Steel City
684, Hazaribagh
685, Deoghar
686, Giridih
687, Dumka
688, Palamu
689, Ramgarh
690, Chatra
691, Sahibganj
692, Garhwa
693, Latehar
694, Simdega
695, Lohardaga
696, Godda
697, Pakur
698, Koderma
699, Jamtara
700, Khunti
701, Gumla
702, Saraikela-Kharsawan
703, West Singhbhum
704, East Singhbhum
705, Daltonganj (Palamu)
706, Chaibasa
707, Ranchi Cantonment
708, Jhumri Tilaiya
709, Chirkunda
710, Phusro
711, Madhupur
712, Jharia
713, Medininagar
714, Chakradharpur
715, Tatanagar
716, Adityapur
717, Saunda
718, Kuju
719, Barughutu
720, Bundu
