pk,name
721,Bangalore
722,Mysore
723,Hubli
724,Mangalore
725,Belgaum
726,Gulbarga
727,Davanagere
728,Bellary
729,Bijapur
730,Shimoga
731,Tumkur
732,Raichur
733,Bidar
734,Hospet
735,Hassan
736,Gadag
737,Udupi
738,Robertsonpet
739,Bagalkot
740,Haveri
741,Chitradurga
742,Kolar
743,Mandya
744,Chikmagalur
745,Gangawati
746,Ranebennuru
747,Bhadravati
748,Yadgir
749,Koppal
750,Gokak
751,Bidadi
752,Dharwad
753,Bellandur
754,Hoskote
755,Raibag
756,Bhatkal
757,Sirsi
758,GulbargaCantonment
759,Ilkal
760,Chamrajnagar
761,Madikeri
762,Arkalgud
763,Badami
764,Harihar
765,Shahabad
