pk,name
801,Bhopal
802,Indore
803,Jabalpur
804,Gwalior
805,Ujjain
806,Sagar
807,Dewas
808,Satna
809,Ratlam
810,Rewa
811,Katni
812,Singrauli
813,Burhanpur
814,Khandwa
815,Bhind
816,Chhindwara
817,Guna
818,Shivpuri
819,Vidisha
820,Chhatarpur
821,Damoh
822,Mandsaur
823,Khargone
824,Neemuch
825,Pithampur
826,Murwara (Katni)
827,Itarsi
828,Sehore
829,Mhow
830,Hoshangabad
831,Betul
832,Seoni
833,Raisen
834,Sujangarh
835,Morena
836,Murwara (Jabalpur)
837,Sarni
838,Narsinghgarh
839,Nagda
840,Harda
841,Seoni Malwa
842,Shahdol
843,Burhanpur
844,Harda
845,Shajapur
846,Sheopur
847,Akodia
848,Agar
849,Narsinghpur
850,Sarangpur
