pk,name
851,Mumbai
852,Pune
853,Nagpur
854,Thane
855,Nashik
856,Kalyan-Dombivali
857,Vasai-Virar
858,Aurangabad
859,Navi Mumbai
860,Solapur
861,Mira-Bhayandar
862,Bhiwandi
863,Amravati
864,Nanded
865,Kolhapur
866,Akola
867,Latur
868,Jalgaon
869,Ahmednagar
870,Miraj
871,Chandrapur
872,Parbhani
873,Ichalkaranji
874,Jalna
875,Bhusawal
876,Navi Mumbai Panvel
877,Achalpur
878,Baramati
879,Osmanabad
880,Nandurbar
881,Satara
882,Beed
883,Yavatmal
884,Kopargaon
885,Gondia
886,Ratnagiri
887,Ahmednagar Cantt
888,Wardha
889,Udgir
890,Akot
891,Sangli-Miraj-Kupwad
892,Satara City
893,Buldana
894,Deulgaon Raja
895,Parli
896,Gondiya
897,Yeola
898,Bandera
899,Khamgaon
900,Baramati
