pk,name
962,Bhubaneswar
963,Cuttack
964,Rourkela
965,Brahmapur
966,Sambalpur
967,Puri
968,Bhadrak
969,Balasore
970,Bargarh
971,Jharsuguda
972,Baripada
973,Jeypore
974,Bhawanipatna
975,Paradip
976,Dhenkanal
977,Balangir
978,Angul
979,Jajpur
980,Rayagada
981,Boudh
982,Nayagarh
983,Sunabeda
984,Kendujhar
985,Byasanagar
986,Parlakhemundi
987,Phulabani
988,Balimela
989,Koraput
990,Banki
991,Pattamundai
992,Balugaon
993,Talcher
994,Soro
995,Attabira
996,Athgarh
997,Rairangpur
998,Buguda
999,Barbil
1000,Kamakhyanagar
1001,Keonjhar
1002,Champua
1003,Jatani
1004,Duburi
1005,Junagarh
1006,Khordha
1007,Banapur
1008,Kantabanji
1009,Ganjam
1010,Nilgiri
