pk,name
1036,Jaipur
1037,Jodhpur
1038,Kota
1039,Bikaner
1040,Ajmer
1041,Udaipur
1042,Bhilwara
1043,Alwar
1044,Bharatpur
1045,Sikar
1046,Pali
1047,Sri Ganganagar
1048,Barmer
1049,Kishangarh
1050,Hanumangarh
1051,Churu
1052,Bhilai
1053,Banswara
1054,Nagaur
1055,Chittorgarh
1056,Dausa
1057,Tonk
1058,Gangapur City
1059,Baran
1060,Sawai Madhopur
1061,Chomu
1062,Bhiwadi
1063,Jhalawar
1064,Makrana
1065,Chidambaram
1066,Merta City
1067,Sikar
1068,Ladnu
1069,Rajsamand
1070,Sirohi
1071,Lalsot
1072,Pratapgarh
1073,Nohar
1074,Sujangarh
1075,Nadbai
1076,Mahwa
1077,Pilibanga
1078,Neem-Ka-Thana
1079,Sardarshahar
1080,Ratangarh
1081,Sri Madhopur
1082,Sojat
1083,Sangaria
1084,Kuchaman City
1085,Vijainagar
1086,Taranagar
1087,Railway Settlement
1088,Ramganj Mandi
1089,Rajaldesar
1090,Raisinghnagar
1091,Rajgarh (Churu)
1092,Sadri
1093,Sambhar
1094,Ratannagar
1095,Renwal
1096,Ramgarh (Alwar)
1097,Rajsamand
1098,Sidhpur
1099,Sendhwa
