pk,name
1110,Chennai
1111,Coimbatore
1112,Madurai
1113,Tiruchirappalli (Trichy)
1114,Salem
1115,Tirunelveli
1116,Erode
1117,Tiruvannamalai
1118,Vellore
1119,Thoothukudi (Tuticorin)
1120,Dindigul
1121,Kanchipuram
1122,Krishnagiri
1123,Nagercoil
1124,Karur
1125,Namakkal
1126,Perambalur
1127,Udhagamandalam (Ooty)
1128,Pudukkottai
1129,Mettupalayam
1130,Ambur
1131,Karaikkudi
1132,Neyveli
1133,Cuddalore
1134,Rajapalayam
1135,Sivakasi
1136,Pollachi
1137,Hosur
1138,Nagapattinam
1139,Thanjavur
1140,Avadi
1141,Kumbakonam
1142,Tiruvarur
1143,Ranipet
1144,Namagiripettai
1145,Attur
1146,Sankarankovil
1147,Vaniyambadi
1148,Arakkonam
1149,Neyyattinkara
1150,Padmanabhapuram
1151,Kovilpatti
1152,Kottarakara
1153,Koyilandy
1154,Kottayam
1155,Tirupathur
1156,Kayalpattinam
1157,Palayamkottai
1158,Pattukkottai
1159,Gudiyatham
1160,Vaniyambadi
