pk,name
1173,Lucknow
1174,Kanpur
1175,Agra
1176,Varanasi
1177,Meerut
1178,Allahabad (Prayagraj)
1179,Gorakhpur
1180,Noida
1181,Firozabad
1182,Jhansi
1183,Moradabad
1184,Aligarh
1185,Bareilly
1186,Amroha
1187,Muzaffarnagar
1188,Bahraich
1189,Faizabad
1190,Mathura
1191,Rampur
1192,Shahjahanpur
1193,Farrukhabad
1194,Hapur
1195,Etawah
1196,Mirzapur
1197,Sambhal
1198,Rae Bareli
1199,Fatehpur
1200,Orai
1201,Jaunpur
1202,Greater Noida
1203,Bulandshahr
1204,Unnao
1205,Lakhimpur Kheri
1206,Sitapur
1207,Hardoi
1208,Barabanki
1209,Gonda
1210,Mainpuri
1211,Faizabad
1212,Ambedkar Nagar
1213,Amethi
1214,Pratapgarh
1215,Budaun
1216,Bahraich
1217,Basti
1218,Deoria
1219,Jaunpur
1220,Robertsganj
1221,Mirzapur
1222,Ballia
1223,Bhadohi
1224,Padrauna
1225,Bansi
1226,Ghazipur
1227,Sant Kabir Nagar
1228,Hardoi
1229,Lakhimpur
1230,Sultanpur
1231,Gorakhpur
1232,Mau
1233,Padrauna
1234,Deoria
1235,Balrampur
1236,Shrawasti
1237,Siddharthnagar
1238,Sonbhadra
1239,Etah
1240,Kasganj
1241,Hathras
1242,Sambhal
1243,Shahjahanpur
1244,Shahabad
1245,Pilibhit
1246,Bijnor
1247,Rampur
1248,Moradabad
1249,Bijnor
1250,Amroha
1251,Sambhal
1252,Kanpur Dehat
1253,Auraiya
1254,Fatehpur
1255,Kannauj
1256,Etawah
1257,Farrukhabad
1258,Mainpuri
1259,Mathura
1260,Agra
1261,Firozabad
1262,Kasganj
1263,Etah
1264,Aligarh
1265,Hathras
1266,Bareilly
1267,Budaun
1268,Shahjahanpur
1269,Pilibhit
1270,Lakhimpur Kheri
1271,Sitapur
1272,Raebareli
1273,Unnao
1274,Kanpur Nagar
