pk,name
1275,Dehradun
1276,Haridwar
1277,Rishikesh
1278,Roorkee
1279,Haldwani
1280,Rudrapur
1281,Kashipur
1282,Ramnagar
1283,Ranikhet
1284,Kathgodam
1285,Pithoragarh
1286,Tanakpur
1287,Mussoorie
1288,Nainital
1289,Pauri
1290,Srinagar
1291,Tehri
1292,Kotdwara
1293,Udham Singh Nagar
1294,Chamoli Gopeshwar
1295,Bageshwar
1296,Almora
1297,Barkot
1298,Chakrata
1299,Dharchula
1300,Dineshpur
1301,Gangotri
1302,Gopeshwar
1303,Jaspur
1304,Jhabrera
1305,Kanda
1306,Kichha
1307,Kirtinagar
1308,Laksar
1309,Lohaghat
1310,Manglaur
1311,Muni Ki Reti
1312,Nagla
1313,Pantnagar
1314,Pithoragarh
1315,Robertsganj
1316,Rudraprayag
1317,Shaktigarh
1318,Shrirampur
1319,Sitarganj
1320,Srinagar
1321,Tehri
1322,Vikasnagar
1323,Yamunanagar
1324,Jaspur
1325,Khatima
1326,Pirankaliyar
1327,Karnaprayag
1328,Gairsain
1329,Barkot
1330,Gangotri
1331,Kirtinagar
1332,Laksar
1333,Muni Ki Reti
1334,Pantnagar
1335,Pithoragarh
1336,Robertsganj
1337,Rudraprayag
1338,Shaktigarh
1339,Shrirampur
1340,Sitarganj
1341,Srinagar
1342,Tehri
1343,Vikasnagar
1344,Yamunanagar
