pk,name
1345,Kolkata
1346,Howrah
1347,Durgapur
1348,Asansol
1349,Siliguri
1350,Bardhaman (Burdwan)
1351,Kharagpur
1352,Medinipur
1353,Murshidabad
1354,Raniganj
1355,Alipurduar
1356,Jalpaiguri
1357,Birbhum
1358,Cooch Behar
1359,Malda
1360,Raiganj
1361,Balurghat
1362,Bankura
1363,Purulia
1364,Krishnanagar
1365,Haldia
1366,Santipur
1367,Raghunathganj
1368,Suri
1369,English Bazar (Malda)
1370,Jaigaon
1371,Jangipur
1372,Kishanganj
1373,Dum Dum
1374,Barasat
1375,Barrackpore
1376,Naihati
1377,Kanchrapara
1378,Kalyani
1379,Ashoknagar Kalyangarh
1380,Bangaon
1381,Habra
1382,Bolpur
1383,Chakdaha
1384,Diamond Harbour
1385,Farakka
1386,Haldibari
1387,Kulti
1388,Khardaha
1389,Raghunathganj
1390,Rishra
1391,Serampore
1392,South Dum Dum
1393,Kamarhati
1394,Bidhannagar
1395,Chandannagar
1396,Hooghly
1397,Chinsurah
1398,Konnagar
1399,Arambagh
1400,Tamluk
1401,Haldia
1402,Tamluk
1403,Midnapore
1404,Jhargram
1405,Ghatal
1406,Contai
1407,Egra
1408,Kanthi
1409,Champadanga
1410,Bhadreswar
1411,Rishra
1412,Dankuni
1413,Uluberia
1414,Kamarhati
1415,Baranagar
1416,Alambazar
1417,Dunlop
1418,Barrackpore
1419,Dumdum
1420,Rajarhat
1421,Birati
1422,New Barrackpore
1423,North Barrackpore
1424,Bidhannagar
1425,Bidhannagar (Salt Lake)
1426,Santoshpur
1427,Rajarhat Gopalpur
1428,Barrackpore
1429,Madhyamgram
1430,Barasat
1431,Kakdwip
1432,Patharpratima
1433,Joynagar
1434,Bishnupur
1435,Sonarpur
1436,Rajpur Sonarpur
1437,Baruipur
1438,Diamond Harbour
1439,Falakata
1440,Mathabhanga
1441,Abhayapuri
1442,Kalimpong
1443,Kurseong
1444,Shiliguri
1445,Mirik
1446,Jalpaiguri
1447,Alipurduar
1448,Cooch Behar
1449,Birpara
1450,Kakdwip
1451,Patharpratima
1452,Joynagar
1453,Bishnupur
1454,Sonarpur
1455,Rajpur Sonarpur
1456,Baruipur
1457,Diamond Harbour
1458,Falakata
1459,Mathabhanga
1460,Abhayapuri
1461,Kalimpong
1462,Kurseong
1463,Shiliguri
1464,Mirik
1465,Jalpaiguri
1466,Alipurduar
1467,Cooch Behar
1468,Birpara
1469,Malda
1470,Raiganj
1471,Balurghat
1472,Bankura
1473,Purulia
1474,Krishnanagar
1475,Krishnanagar
1476,Kalyani
1477,Ashoknagar Kalyangarh
1478,Bangaon
1479,Habra
1480,Bolpur
1481,Chakdaha
1482,Diamond Harbour
1483,Farakka
1484,Haldibari
1485,Kulti
1486,Khardaha
1487,Raghunathganj
1488,Rishra
1489,Serampore
1490,South Dum Dum
1491,Kamarhati
1492,Bidhannagar
1493,Chandannagar
1494,Hooghly
1495,Chinsurah
1496,Konnagar
1497,Arambagh
1498,Tamluk
1499,Haldia
1500,Tamluk
1501,Midnapore
1502,Jhargram
1503,Ghatal
1504,Contai
1505,Egra
1506,Kanthi
1507,Champadanga
1508,Bhadreswar
1509,Rishra
1510,Dankuni
1511,Uluberia
1512,Kamarhati
1513,Baranagar
1514,Alambazar
1515,Dunlop
1516,Barrackpore
1517,Dumdum
1518,Rajarhat
1519,Birati
1520,New Barrackpore
1521,North Barrackpore
1522,Bidhannagar
1523,Bidhannagar (Salt Lake)
1524,Santoshpur
1525,Rajarhat Gopalpur
1526,Barrackpore
1527,Madhyamgram
1528,Barasat
1529,Kakdwip
1530,Patharpratima
1531,Joynagar
1532,Bishnupur
1533,Sonarpur
1534,Rajpur Sonarpur
1535,Baruipur
1536,Diamond Harbour
1537,Falakata
1538,Mathabhanga
1539,Abhayapuri
1540,Kalimpong
1541,Kurseong
1542,Shiliguri
1543,Mirik
1544,Jalpaiguri
1545,Alipurduar
1546,Cooch Behar
1547,Birpara
1548,Kakdwip
1549,Patharpratima
1550,Joynagar
1551,Bishnupur
1552,Sonarpur
1553,Rajpur Sonarpur
1554,Baruipur
1555,Diamond Harbour
1556,Falakata
1557,Mathabhanga
