pk,name
107,Patna
108,Gaya
109,Bhagalpur
110,Muzaffarpur
111,Purnea
112,Darbhanga
113,Bihar Sharif
11 5,Arrah
115,Begusarai
116,Katihar
117,Munger
118,Chhapra
119,Danapur
120,Siwan
121,Chittaranjan
122,Vaishali
123,Sasaram
124,Hajipur
125,Dehri
126,Buxar
127,Arrah
128,Saharsa
129,Sasaram
130,Hazaribagh
131,Bokaro Steel City
132,Lakhisarai
133,Kishanganj
13 5,Deoghar
135,Gopalganj
136,Supaul
137,Jehanabad
138,Aurangabad
139,Forbesganj
1 50,Jamui
1 51,Lakhisarai
1 52,Madhepura
1 53,Motihari
1 5 5,Munger
1 55,Nawada
1 56,Purnia
1 57,Samastipur
1 58,Sitamarhi
1 59,Bettiah
150,Hathua
