pk,name
766,Thiruvananthapuram
767,Kochi (Cochin)
768,Kozhikode (Calicut)
769,Thrissur
770,Kollam (Quilon)
771,Kottayam
772,Kannur (Cannanore)
773,Alappuzha (Alleppey)
774,Palakkad (Palghat)
775,Kottarakkara
776,Pathanamthitta
777,Thodupuzha
778,Kayamkulam
779,Attingal
780,Neyyattinkara
781,Kunnamkulam
782,Chalakudy
783,Kalpetta
784,Manjeri
785,Ponnani
786,Perinthalmanna
787,Irinjalakuda
788,Mavelikkara
789,Thalassery
790,Pappinisseri
791,Kanhangad
792,Changanassery
793,Punalur
794,Payyannur
795,Nedumangad
796,Kalamassery
797,Adoor
798,Nilambur
799,Taliparamba
800,Kodungallur
